id_ubezpieczyciela,nazwa,miejscowosc,adres
985,Generali,Hornell,8433 Enim Avenue
986,Aviva,Lynchburg,Ap #755-8788 Praesent Ave
987,Allianz,Rancho Palos Verdes,636-6588 Velit. St.
988,Ergo Hestia,Forest Lake,4395 Lobortis Street
989,Ergo Hestia,Starkville,664-247 Eget St.
990,Generali,Davis,P.O. Box 678, 2116 Ligula Ave
991,Allianz,Marietta,178-6603 Nunc, Ave
992,Generali,Easton,P.O. Box 201, 9206 Sagittis Avenue
993,4Life,Butte,Ap #667-7870 Nibh Av.
994,Link4,Lawton,414 Mollis Ave
995,4Life,New York,5018 Sit Rd.
996,Allianz,Cary,788-9766 Faucibus Street
997,Ergo Hestia,Middlebury,Ap #569-1155 Mollis. Rd.
998,Link4,Coral Springs,1919 Sem St.
999,Generali,La Palma,3210 Dapibus Ave
1000,Generali,Las Cruces,P.O. Box 685, 3296 Ut Rd.

